place,child_lat,child_lon,current_name,type,parent_node,parent_lat,parent_lon,is_single,creation_date,comment,oblast,
Крайовий провід Західних українських земель,49.839683,24.029717,Львів,kray,Провід ОУН,,,TRUE,1942-01-01 00:00:00,,Львівська,
Житомир,50.25465,28.6586669,,"oblast, raion",,,,TRUE,1941-07-11 00:00:00,,Житомирська,
Житомир,50.25465,28.6586669,,"oblast, raion",Київ,50.4501,30.5234,FALSE,1941-10-01 00:00:00,,Житомирська,
Троянів Житомирського р-ну,50.113333,28.523056,Троянів,raion,Житомир,50.25465,28.6586669,FALSE,1941-07-11 00:00:00,,Житомирська,
Попільня (за ін. даними центр округи був в Андрушівці),49.9451487,29.4560736,,"okruga, raion",Житомир,50.25465,28.6586669,FALSE,1941-07-11 00:00:00,,Житомирська,
Андрушівка,50.0312719,29.0216369,,raion,Попільня,49.9451487,29.4560736,FALSE,1941-07-11 00:00:00,,Житомирська,
Вчорайше,49.8633246,29.1444626,,raion,Попільня,49.9451487,29.4560736,FALSE,1941-26-07,,Житомирська,
Корнин,50.0920849,29.5436691,,raion,Попільня,49.9451487,29.4560736,FALSE,1941-12-01 00:00:00,,Житомирська,
Ружин,49.7220862,29.2112498,,raion,Попільня,49.9451487,29.4560736,FALSE,1941-07-18 00:00:00,,Житомирська,
Бердичів,49.9106591,28.5900313,,"okruga, raion",Житомир,50.25465,28.6586669,FALSE,1941-07-16 00:00:00,,Житомирська,
Чуднів,50.05569300000001,28.1177,,raion,Бердичів,49.9106591,28.5900313,FALSE,1941-08-01 00:00:00,,Житомирська,
Янушпіль,49.8617413,28.2095746,Іванопіль Чуднівського р-ну,raion,Бердичів,49.9106591,28.5900313,FALSE,1941-08-01 00:00:00,,Житомирська,
с. Стрибіж Пулинського р-ну (центр Червоноармійського р-ну ОУН),50.3965872,28.1603933,Червоноармійський р-н - нині Пулинський,"okruga, raion",Житомир,50.25465,28.6586669,FALSE,1941-07-11 00:00:00,,Житомирська,
Хорошів (екс-Володарськ-Волинський),50.6013484,28.4338013,,raion,Стрибіж,50.3965872,28.1603933,FALSE,1941-07-11 00:00:00,,Житомирська,
Бараші Ємільчинського р-ну,50.7134086,28.0232983,,raion,Стрибіж,50.3965872,28.1603933,FALSE,1941-07-11 00:00:00,,Житомирська,
Черняхів,50.454046,28.6735505,,raion,Стрибіж,50.3965872,28.1603933,FALSE,1941-07-11 00:00:00,,Житомирська,
Звягель (провід округи був у м. Корці Рівненської обл.),50.586020,27.6363775,Новоград-Волинський,"okruga, raion",Рівне,50.614969,26.2829262,FALSE,1941-08-01 00:00:00,"Провід округи був у Корці Рівненської обл. Імовірно входила до Волинського крайового проводу. Відповідно, як позначити її зв'язок - хз",Житомирська,
Ярунь Новоград-Волинського р-ну,50.5444572,27.4705256,,raion,Корець Рівненської обл.,50.6227649,27.1614453,FALSE,1941-08-01 00:00:00,,Житомирська,
Городниця Новоград-Волинського р-ну,50.8105808,27.3166945,,raion,Корець Рівненської обл.,50.6227649,27.1614453,FALSE,1941-08-01 00:00:00,,Житомирська,
Коростень,50.9532135,28.6457544,,"okruga, raion",Житомир,50.25465,28.6586669,FALSE,1941-08-08 00:00:00,,Житомирська,
Чоповичі,50.8341358,28.9512311,,raion,Коростень,50.9532135,28.6457544,FALSE,1941-08-08 00:00:00,,Житомирська,
Малин,50.7696795,29.2604876,,raion,Коростень,50.9532135,28.6457544,FALSE,1941-07-23 00:00:00,,Житомирська,
Овруч,51.3268314,28.8028968,,okruga,Житомир,50.25465,28.6586669,FALSE,1941-08-23 00:00:00,,Житомирська,
Радомишль,50.4965282,29.2337369,,raion,???,,,TRUE,1941-12-01 00:00:00,,Житомирська,
Брусилів,50.2875741,29.5094362,,raion,???,,,TRUE,1941-08-01 00:00:00,,Житомирська,
Проскурів,49.422983,26.9871331,Хмельницький,"oblast, okruga, raion",,,,TRUE,1941-07-17 00:00:00,,Хмельницька,
Проскурів,49.422983,26.9871331,Хмельницький,"oblast, okruga, raion",Київ,50.4501,30.5234,FALSE,1941-10-01 00:00:00,,Хмельницька,
Деражня,49.2672882,27.4321477,,raion,Проскурів,49.422983,26.9871331,FALSE,1941-08-01 00:00:00,,Хмельницька,
Чемерівці  (надрайонний провід),49.0186498,26.3397803,,nadraion,Проскурів,49.422983,26.9871331,FALSE,1941-07-17 00:00:00,,Хмельницька,
Оринин Кам'янець-Подільського району,48.7629336,26.3908792,,raion,Проскурів,49.422983,26.9871331,FALSE,1941-07-17 00:00:00,,Хмельницька,
Кам'янець-Подільський,48.6967162,26.5825364,,okruga,Проскурів,49.422983,26.9871331,FALSE,1941-07-19 00:00:00,,Хмельницька,
"с. Кадиївці Кам'янець-Подільського р-ну 
(Кам'янець-Подільський окружний провід)",48.7076244,26.4403741,,okruga,Кам'янець-Подільський,48.6967162,26.5825364,FALSE,1941-07-19 00:00:00,,Хмельницька,
Летичів,49.385028,27.6242251,,"okruga, nadraion, raion",Кам'янець-Подільський,48.6967162,26.5825364,FALSE,1941-08-01 00:00:00,,Хмельницька,
Меджибіж,49.4389042,27.4042153,,raion,Летичів,49.385028,27.6242251,FALSE,1941-08-01 00:00:00,,Хмельницька,
Дунаївці  (надрайонний провід),48.8922474,26.8603864,,nadraion,Летичів,49.385028,27.6242251,FALSE,1941-07-19 00:00:00,,Хмельницька,
Старокостянтинів,49.7546828,27.2121595,,okruga,Проскурів,49.4237091,26.9821989,FALSE,1941-07-18 00:00:00,,Хмельницька,
Остропіль,49.8077202,27.5558184,Старий Остропіль Старокостянтинівського р-ну,raion,Старокостянтинів,49.7546828,27.2121595,FALSE,1941-07-18 00:00:00,,Хмельницька,
Стара Синява,49.596605,27.6251725,,raion,Старокостянтинів,49.7546828,27.2121595,FALSE,1941-07-18 00:00:00,,Хмельницька,
Гриців Шепетівського р-ну,49.97618929999999,27.2264289,,raion,Старокостянтинів,49.7546828,27.2121595,FALSE,1941-07-18 00:00:00,,Хмельницька,
Красилів,49.64920230000001,26.9757217,,raion,Старокостянтинів,49.7546828,27.2121595,FALSE,1941-07-18 00:00:00,,Хмельницька,
Ярмолинці,49.189578,26.8447254,,"okruga, raion",Кам'янець-Подільський,48.6967162,26.5825364,FALSE,1941-07-19 00:00:00,,Хмельницька,
Солобківці,49.0860047,26.9212431,,raion,Ярмолинці,49.189578,26.8447254,FALSE,1941-07-19 00:00:00,,Хмельницька,
Волочиськ,49.5345161,26.2093072,,raion,Ярмолинці,49.189578,26.8447254,FALSE,1941-07-03 00:00:00,,Хмельницька,
Ляхівці,50.003272,26.415107,Білогір'я,raion,Ярмолинці,49.189578,26.8447254,FALSE,1941-07-19 00:00:00,,Хмельницька,
Ізяслав,50.1191124,26.8281141,,raion,Ярмолинці,49.189578,26.8447254,FALSE,1941-07-19 00:00:00,,Хмельницька,
Славута,50.2969058,26.8600648,,raion,???,,,TRUE,1941-08-01 00:00:00,,Хмельницька,
Довжок,48.6747626,26.5297693,,raion,???,,,TRUE,1941-07-19 00:00:00,,Хмельницька,
